date,close,high,low,open,volume,AD,OBV,ADOSC,MULT,SUM,ASIT,VAR
1991/12/27,290.85,290.85,288.03,290.65,1551,505257.6367034226,358796.0,5049.733201176568,83773.5255,8032.44,453.1541865464277,3.33096000009391
1991/12/30,291.71,291.71,290.85,291.71,1165,506422.6367034226,359961.0,4911.1016459517405,84843.8535,8083.530000000002,451.9256908898584,4.52841600010288
1991/12/31,292.75,292.75,291.71,292.48,584,507006.6367034226,360545.0,4593.743132818723,85398.1025,8134.040000000001,450.81850826660667,4.6328960000828365
1992/1/2,293.75,293.75,292.76,293.74,928,507934.6367034226,361473.0,4341.574365371722,85998.25,8183.290000000001,450.1155861101509,3.8197760000912235
1992/1/3,296.52,296.52,293.75,296.24,1436,509370.6367034226,362909.0,4300.634927291423,87102.75,8233.5,450.3789129815676,3.846944000077201
1992/1/6,297.68,297.68,296.52,297.68,3400,512770.6367034226,366309.0,4974.738345595775,88268.0736,8282.65,446.9717306852263,5.120056000072509
1992/1/7,298.77,298.77,297.68,298.54,892,513662.6367034226,367201.0,5082.077167120704,88937.8536,8330.57,440.5895684064817,5.266904000105568
1992/1/8,299.66,299.66,298.77,299.65,659,514321.6367034226,367860.0,4873.663306188071,89529.4182,8377.26,435.64267054571434,4.216584000096192
1992/1/9,300.62,300.62,299.66,300.61,943,515264.6367034226,368803.0,4645.388244334958,90083.7892,8422.43,429.0697722671645,2.078640000123414
1992/1/10,301.83,301.83,300.62,301.82,1605,516869.6367034226,370408.0,4640.3767877282235,90736.1346,8466.91,424.4395092200686,2.065896000101929
1992/1/13,303.06,303.06,302.0,302.83,725,517594.6367034226,371133.0,4447.156029322941,91524.12,8510.369999999999,417.7363109209618,2.3241360001266003
1992/1/14,305.74,305.74,303.06,304.77,632,518226.6367034226,371765.0,4164.915170946042,92657.5644,8553.919999999998,413.18404607464026,4.470896000115316
1992/1/15,306.63,306.63,305.74,306.62,259,518485.6367034226,372024.0,3753.2334406149457,93749.0562,8595.739999999998,410.02484314729935,5.2125040001410525
